Video_Title,Yayıncı_Kullanıcı_Adı,Video_Yayın_Tarihi,Video_Like_Sayısı,Video_Dislike_Sayısı,Yorum_Metni,Yorum_Tarihi,Yorum_Kullanici_Adi,Yorum_Like_Sayisi,Yorum_Dislike_Sayisi,Yorum_Reply_Sayisi,Duygu_Durumu
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0," Honor 200 Pro ile tanışın: https://tem.ag/evrimagaci-honor200pro
 Bu videoda anlattıklarımız, 3Blue1Brown kanalından Grant Sanderson'ın hazırladığı 6 videoluk ""Nöral Ağlar"" video listesinin bir özeti gibi. İşi daha da derinlemesine kavramak ve bu videoda girmediğimiz nöral ağ matematiğini de öğrenmek için bu listeyi baştan sona izleyin deriz: https://www.youtube.com/watch?v=aircAruvnKk&list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi Üzerine Coursera'dan şu dersi almanızı tavsiye ederiz: https://www.coursera.org/learn/neural-networks-deep-learning
💗 Evrim Ağacı, okur ve izleyen destekleriyle yola devam ediyor. Bize destek olan bilimseverlere katılın: https://evrimagaci.org/youtube",2024-07-27,@evrimagaci,140,none,6,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Sizin de chatgbt den eksiginiz yok masallah. Tebrik ederim, cok tesekkürler.👏🙏",2025-11-29,@incikarakas1059,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,15:30 kumruya yapalım şunu,2025-11-28,@Futbolgünlüklerfb,1,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Çagrı sana gerçekten büyük saygı duyuyorum ve takdir ediyorum.İnanılmaz güzel bilgileri sade ve net bilgilerle donatıyorsun insanları.. harikasın valla,2025-11-27,@canahmettopkaya6100,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,❤,2025-11-25,@ayseparlar7610,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Abi 50 yil sonra senin gibi birisini boyle guzel bir sekilde anlatan bilen bir bilge adami veya mühendisi bulmamız çok zor olucak ona üzülüyorum...,2025-11-24,@ZeynalYasin-wb1os,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,❤,2025-11-18,@eminekirimli-e8r,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,🤎👍💪başarılar !!!,2025-11-17,@mustafakacar3199,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,👍💪başarılar !!!!,2025-11-17,@mustafakacar3199,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Sen ne müthiş bir adamsın maşallah,2025-11-01,@merveeeee6305,0,none,0,Pozitif
