Ulan Wifi'ye bağlıyım ben. Ona bağlıyken Turkcell internet paketin bitti diye nasıl mesaj atabilir bana ya? Onu da mı ödeyelim;negatif
20 dk 1 GB internet 500 mb sadece kaşar turkcell de düşer. Oç çocukları.;negatif
Ayrıca turkcell superonline reklamı kadar da kötü bir reklam görmemiştim;negatif
Turkcell çok pahalı ya;negatif
Turkcell Kaş'ta internetin cekmiyor;negatif
Turkcell'in Allah belası versin demek isterdim ama demicem. Demedim farzedin. Nasıl bir internettir bu ya yüreğim şişti!;negatif
Canın cehenneme turkcell;negatif
Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandası mesajları gönderiyor;negatif
Turkcell şerefsizdir aksini iddia eden turkcelldir;negatif
Turkcell'den elimi ayağımı çektiğim iyi oldu;negatif
Senin turkcell gibi allah belanı versin;negatif
Bayramdan sonra vodafone geçiyorum turkcell kazıkçı amk;negatif
Of evin her köşesinden Turkcell geçiyor bizi kazıklamalarıyla kalmayıp birde internetleri düşük hızlı;negatif
Hay senin turkcell gibi çekim gücünü ... Nalet olsun;negatif
Şehir dışındayım burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar;negatif
Turkcell senin ben amk 10 dakikalık videoyu izlemek icin yarım saat dolmasını bekliyorum;negatif
Turkcell 'e bağlanmak amerikaya gitmekten daha zor;negatif
Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo;negatif
Turkcell im lan her saatte araman ayıp değil mi? Nalet .;negatif
turkcell gittikçe, iyice saçmalamaya başladım diyor;negatif
Kendimi kurtardığıma en çok sevindiğim kurumlar 3 turkcell 2 digiturk 1 garanti;negatif
Turkcell'in interneti kadar rezil bir şey olamaz;negatif
turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme;negatif
Reklamlarında sürekli çocukları ve yerel değerleri kullanan Turkcell'e ayar oluyorum.;negatif
Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor;negatif
Sahrayıceditin göbeğinde tek çentik çeken turkcell dört 4.5 g ye geçmiş sen önce çekim gücünü yükselt sonra geçmesi kolay;negatif
Turkcell kullanan geri zekalıdır. İnterneti biraz daha hızlı diye niye 23 lira vermek varken 35 lira vereyim ams salak mıyım ben;negatif
Türk operatörleri tıpkı AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalı. Yıllardır halkı sömüren Turkcell ne yaptı?;negatif
Turkcell'in müşteri hizmetleri kalitesi felaket .. Şimdi Face hesabımdan aynı yazıyı tüm arkadaşlarımla paylaşacağım;negatif
Ne malsın turkcell yaa ağzıma ettin ressmen;negatif
Turkcell 10G de yapsa bu internet düzelmez. Bir fotoğrafın açılması yarım saat sürüyor;negatif
Hani turkcell heryerde çekiyordu;negatif
Acaba benim hattım neden kendi üstümde deyil bu turkcell in kazıklarından bıktım amk baba duy sesimi;negatif
En kazık operatör Turkcell'dir aksini idda eden olmasın;negatif
turkcell kadar şerrefsiz bi operatör daha yok;negatif
Çiftehan da turkcell neden çok az cekiyor;negatif
Turkcell kadar mal bi operatör yok aq;negatif
Numaramı değiştiriyorum yeter. Turkcell amk.;negatif
Cart parası curt parası diye sürekli faturama geçiren turkcell sana da çok sövdüm.;negatif
30 liraya sınırsız internet yaptırdım sanırım turkcell yine kazık attı yine keklendim arkadaşlar;negatif
Ve bu köşede de yavaşlıktan ölen bir adet Turkcell;negatif
Turkcell'in amk niye çekmiyor bu internet;negatif
Turkcell çekmiyooo kahretsin;negatif
Turkcell sömürüyor bildiğin;negatif
Turkcell allah belanı versin;negatif
turkcell in allah belasını versin bu da ilk bedduamdır;negatif
@Turkcell Yalan söyleyen, sigortalı telefonumu sigorta kapsamında değil diyerek geri çeviren Turkcell'den hala ses seda yok;negatif
Eve geldim hala turkcell deki adama sinirim geçmedi ..;negatif
Turkcell her yerde çeker diyorsunuz lan evin ortasında şahin pozu aldım yine de çekmiyor;negatif
Turkcell e gectigim icin pismanim;negatif
Allahin belası kazık turkcell !!!!;negatif
İnternet paketini sömürüyor yine allahsız turkcell;negatif
Turkcelle geçtim turkcell evde çekmiyo aq;negatif
Ne biçim Turkcell'sin sen ya şehirdeyim çekmiyor.;negatif
Klozette edge cekiyor turkcell bu ne sacmalik;negatif
Turkcell abv odam da bile çekmemeye başladın gerçekten;negatif
Turkcell superonline bok gibisin bok;negatif
Turkcell urunu kullanirsam en adi serefsizim!;negatif
Turkcell çekmiyor arkadaşlar inanmayın;negatif
Turkcell allah belanı versin, bin yaşa VODAFONE;negatif
söylesene Turkcell odamda neden çekmiyorsun?;negatif
hiç bir oparetör dürüst değil turkcell faturama internet paketimi aşmışım diye 13 tl kitledi sözde otamatik duracakdı sahtekarlar;negatif
ulan bu gerizekalı turkcell kardeşimin öldüğüne dair eve yazı yollamış.;negatif
Bitmeyen fatura yapmışlar ömrüm sizi ödemekle geçiyor heleki Turkcell Allah senin belanı Tövbe Tövbe ya;negatif
turkcell son zamanlarda iyice cortladı. internet hızı rezalet, yer yer hiç çekmiyor. kontratım bittiği an vodafone'a geçeceğim.;negatif
Bu ay Turkcell'den yemediğim kazığı yedim. 50 lira yükledim ama gelin görünki elde var 0. Bir de şu İMessage uyanıklığı var tabii.;negatif
Bugün Mutluydum Ama Bu Turkcell beni Sinir etti Şuanda;negatif
Turkcell benim internetim bu hafta niye böyle yavaş!!!;negatif
Yıldım vallaha yıldım Allah telefonumun da turkcell'in de belasını versin;negatif
Turkcell internet bağlantı hızında açık ara sınıfta kaldı, çok yazık !!! Ne eziyet çekmişim!!!;negatif
Vodafone gibi Turkcell yapmışlar olmamış bu;negatif
6 7 senedir turkcell kullanıyorum ama allah belani versin haram zıkkım olsun verdiğim paralar;negatif
Turkcell Samsun da zor çekiyo adada nasıl çeksin bırakın bu ayakları;negatif
Turkcell ne geçirdi beeee;negatif
Turkcell galiba bana gelince internet paketini yavaşlatıyor;negatif
Hani turkcell heryerde 4 çekerdi metroda telefonla konuşamıyoruz bunu bana biri açıklasın;negatif
Turkcell reklam mesajları için numaramı sattıgın her firma için Allah belanı versin!!!;negatif
Ulan turkcell odedigim faturalar haram olsun bole net hızı olmaz olsun!!!;negatif
yemin ederim bu turkcell müşteri hizmetleri bir ton otistik ve moronla dolu;negatif
Embesil Turkcell bu saatte mesaj mı yollanır üstüste !;negatif
Çekim gücüne sövmemek için zor tutuyorum kendimi turkcell;negatif
Ömrümü yedin turkcell;negatif
@pelinozgen gayrettepe'nin göbeğinde bırakın 3G'yi edge hızına bile erişemiyor turkcell.. neyin kandırmacası bu?;negatif
Lan odada avea çekmiyo diye turkcelle geçtim şimdide turkcell çekmiyo avea full başlarım böyle işe;negatif
Ya benim odamda telefon çekmiyor arkadaşlar.(Turkcell) Resmen 50 yıl geride yaşıyorum ben.;negatif
Hattımı tekrar Avea mı alsam, yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmıyorum bile. Kafamda deli sorular;negatif
#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...;negatif
Turkcell reklamları kadınları neden bu kadar çok aşşağılıyor güllerin içinden yoksa vermez kucaktan kucağa zıplattılar kızı;negatif
Turkcell türk telekom arena' da bile internetin kağnı gibi.sana verdiğim para haram olsun...;negatif
Kandırdın beni turkcell,her şey bitti;negatif
Yaşasın yarın vodafone'a geçme kararı aldım. turkcell'e para yedirmeye son :DD;negatif
Ulan on numara mekan sıcak suyum bile var ama şebekem yok amk turkcell vodafone'ye geccem kesin;negatif
Önemli şahıstan mesaj beklersin beklersin Çat mesj gelir bir an heyecanla o mu acaba diye bakarsın sonra Turkcell olduğunu görünce söversin!;negatif
8 senedir kullandığım Turkcell numaramı Vodafone'a taşıdım gerçekten iyi bi karar oldu insanları sömürüyorlar ya ücretlendirme normal değil.;negatif
Turkcell bile ygsye sayılı günler kaldı diye mesaj atıyo. Amacanız bizi çıldırtmak mı?;negatif
Geçerken arasından dağların tepelerin, geldi veda zamanı Turkcell 3G'nin.... :/ bu devirde edge mi kaldı yeaa;negatif
Turkcell'in reklamlarında müthiş bir kalite düşüklüğü var. Reklam fikri de parlak değil, Prodüksiyon da başarısız.;negatif
Turkcell'in hani interneti hızlıydı,kandırıldım;negatif
Turkcell artık yeter .Bıktırdı reklam ve aday mesajları.24 saat gece gündüz yağıyor.Numaramı satıp sen para kazanıyorsun ben çıldırıyorum.;negatif
Yandaş, yalaka hale gelen turkcell kullanmıyorum kullanılmasını tavsiye etmiyorum;negatif
Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana;negatif
Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felç ! Hakkını verin Hız limitimi nasıl düşürüyorsun dolandırıcısınız;negatif
Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell;negatif
Turkcell yine çekmiyor. Aldıkları para boşuna;negatif
Turkcell su kontratım bitsin turkcell mi tövbe;negatif
Turkcell'in reklam filmi, Fatih'in Fedaisi Kara Murat filminden daha heyecanlı yeminle... Eziyet resmen;negatif
beni uğraştıran turkcell ve apple bir tutam küfürü hakettiniz(bedeli ödendi);negatif
şuan çok sinirliyim aq şu turkcell şerefsizi internet paketimi bitirdikten sonra sosyal paketimden kullanmaya başlayabildim abv;negatif
Digitürk ttnet turkcell 5 para etmezsiniz alayınızın amk;negatif
Turkcell denen illet nedir bilirmisin internet paketim bitti benimle gelirmisin.;negatif
Turkcell internetin bitti diye mesaj atıp durma moralim bozuluyor pislik;negatif
8 sene bu turkcell in kahrını nasıl çekmişim amk yaa;negatif
Turkcell daha demin seni övdüm ama şimdi sövüyorum. Yaptığım paket değişmiş whywhyhwy. Abv turkcel;negatif
Turkcell yeter amk eski sevgilimden daha çok mesaj atıyosun;negatif
Turkcell'den kurtulmuş biri olarak çok yanlış insanı arıyorsunuz #turkcell;negatif
turkcell yavaş internette 1 numara;negatif
Allah belanı versin turkcell;negatif
Turkcell 3G'nin şu ara sıçtığını düşünüyorum..;negatif
Turkcell kadar boktan bi operatör görmedim;negatif
Turkcell fiyat olarak geçirmeyi çok iyi biliyorsun ama hala internet bağlantın leş;negatif
İnternet paketim dogum günümde bitiyormus ulan Turkcell yine yaptın yapacagını;negatif
Turkcell kadar kazıkçı bi hat yok;negatif
